iter	Passed	Remaining
0	3	738
1	7	746
2	11	732
3	14	698
4	17	672
5	21	681
6	24	670
7	28	682
8	32	682
9	35	672
10	39	684
11	43	674
12	46	665
13	49	660
14	53	656
15	57	662
16	61	656
17	64	653
18	67	645
19	71	642
20	75	645
21	79	640
22	82	633
23	85	629
24	89	625
25	92	619
26	96	615
27	99	609
28	102	607
29	106	601
30	109	596
31	112	590
32	115	584
33	119	581
34	122	575
35	125	570
36	128	565
37	131	559
38	134	556
39	137	551
40	140	546
41	143	541
42	146	536
43	150	532
44	153	528
45	156	523
46	159	519
47	162	514
48	165	510
49	168	506
50	171	502
51	175	498
52	178	493
53	181	490
54	184	487
55	187	483
56	190	478
57	194	475
58	197	471
59	200	467
60	203	463
61	206	460
62	209	456
63	213	454
64	216	450
65	219	446
66	222	442
67	226	438
68	229	434
69	231	430
70	235	427
71	238	423
72	241	420
73	244	416
74	248	413
75	251	410
76	254	406
77	257	402
78	260	398
79	264	396
80	267	392
81	270	389
82	273	385
83	276	381
84	280	379
85	283	375
86	286	372
87	289	368
88	292	364
89	295	361
90	298	357
91	302	354
92	305	351
93	308	347
94	311	344
95	314	340
96	317	337
97	320	333
98	323	330
99	326	326
100	329	323
101	333	320
102	336	316
103	339	313
104	342	309
105	345	306
106	349	303
107	352	300
108	355	296
109	358	293
110	361	290
111	364	286
112	368	283
113	371	279
114	374	276
115	377	273
116	380	269
117	383	266
118	386	263
119	389	259
120	392	256
121	395	253
122	398	249
123	402	246
124	405	243
125	408	239
126	412	236
127	415	233
128	418	230
129	422	227
130	426	224
131	429	221
132	433	218
133	436	214
134	440	212
135	444	208
136	447	205
137	450	202
138	454	199
139	458	196
140	478	200
141	481	196
142	485	193
143	489	190
144	493	187
145	497	183
146	501	180
147	504	177
148	508	174
149	511	170
150	515	167
151	519	164
152	523	160
153	526	157
154	530	153
155	533	150
156	537	147
157	541	143
158	544	140
159	547	136
160	552	133
161	555	130
162	558	126
163	562	123
164	565	120
165	569	116
166	573	113
167	578	110
168	582	106
169	585	103
170	588	99
171	592	96
172	595	92
173	598	89
174	602	86
175	605	82
176	608	79
177	612	75
178	615	72
179	618	68
180	622	65
181	626	61
182	630	58
183	633	55
184	637	51
185	642	48
186	646	44
187	650	41
188	654	38
189	657	34
190	661	31
191	666	27
192	669	24
193	674	20
194	678	17
195	682	13
196	685	10
197	689	6
198	692	3
199	696	0
